ID,duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,Pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
1,1,2,?,?,none,38,none,?,?,yes,11,average,no,none,no,none,bad
2,2,3,3,?,none,33,?,?,?,yes,12,generous,?,?,yes,full,good
3,1,4,?,?,none,?,none,?,?,yes,11,average,no,none,no,none,bad
4,2,2,3,?,none,38,empl_contr,?,?,yes,12,generous,yes,none,yes,full,bad
5,2,4.5,4.5,?,tcf,?,?,?,?,yes,10,below_average,yes,none,?,half,good
6,3,2,3,?,tcf,?,empl_contr,?,?,yes,?,?,yes,half,yes,?,good
7,3,3.7,4,5,tc,?,?,?,?,yes,?,?,?,?,yes,?,good
8,2,4.5,5.8,?,?,35,ret_allw,?,?,yes,11,below_average,?,full,?,full,good
9,2,2,2.5,?,?,35,?,?,6,yes,12,average,?,?,?,?,good
10,2,3,7,?,?,38,?,“12”,25,yes,11,below_average,yes,half,yes,?,good
11,2,3.5,4,?,none,40,?,?,2,no,10,below_average,no,half,?,half,bad
12,1,3,?,?,none,36,?,?,10,no,11,generous,?,?,?,?,good
13,2,5,4,?,none,37,?,?,5,no,11,below_average,yes,full,yes,full,good
14,3,4.5,4.5,5,none,40,?,?,?,no,11,average,?,half,?,?,good
15,2,4,5,?,none,40,none,?,3,no,10,below_average,no,none,?,none,bad
16,2,2,2,?,none,40,none,?,?,no,11,average,yes,none,yes,full,bad
17,1,2.8,?,?,none,38,empl_contr,“2”,3,no,9,below_average,yes,half,?,none,bad
18,1,2.1,?,?,tc,40,ret_allw,“2”,3,no,9,below_average,yes,half,?,none,bad
19,3,3,2,2.5,tc,40,none,?,5,no,10,below_average,yes,half,yes,full,bad
20,3,2,2.5,2.1,tc,40,none,“2”,1,no,10,below_average,no,half,yes,full,bad
21,1,2,?,?,tc,40,ret_allw,“4”,0,no,11,generous,no,none,no,none,bad
22,2,4.5,4,?,?,40,?,?,2,no,10,below_average,no,half,?,half,bad
23,1,5.7,?,?,nonne,40,empl_contr,?,4,?,11,generous,yes,full,?,?,good
24,3,3.5,4,4.6,None   ,36,?,?,3,?,13,generous,?,?,yes,full,good
25,2,4.5,4,?,none,37,empl_contr,?,?,?,11,average,?,full,yes,?,good
26,3,2,2,2,none,40,none,?,?,?,10,below_average,?,half,yes,full,bad
27,2,4.5,4,?,none,40,?,?,4,?,12,average,yes,full,yes,half,good
28,2,4,4,?,none,40,none,?,3,?,10,below_average,no,none,?,none,bad
29,2,4.5,4,?,None   ,40,?,?,5,?,11,average,?,full,yes,full,good
30,2,5,4.5,?,none,38,?,“14”,5,?,11,below_average,yes,?,?,full,good
31,2,5.7,4.5,?,None   ,40,ret_allw,?,?,?,11,average,yes,full,yes,full,good
