duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
3,3.5,4,4.6,none,36,?,?,3,13,generous,?,?,yes,full,good
2,4.5,4,?,none,37,empl_contr,?,?,11,average,?,full,yes,?,good
3,2,2,2,none,40,none,?,?,10,below_average,?,half,yes,full,bad
2,4.5,4,?,none,40,?,?,4,12,average,yes,full,yes,half,good
2,4,4,?,none,40,none,?,3,10,below_average,no,none,?,none,bad
2,4.5,4,?,none,40,?,?,5,11,average,?,full,yes,full,good
2,5,4.5,?,none,38,?,14,5,11,below_average,yes,?,?,full,good
2,5.7,4.5,?,none,40,ret_allw,?,?,11,average,yes,full,yes,full,good
3,4,3.5,?,none,40,empl_contr,?,6,11,average,yes,full,?,full,good
3,5,4.4,?,none,38,empl_contr,10,6,11,generous,yes,?,?,full,good
3,3.5,4,5.1,tcf,37,?,?,4,13,generous,?,full,yes,full,good
2,4,5,?,tcf,35,?,13,5,15,generous,?,?,?,?,good
3,3.5,4,4.6,tcf,27,?,?,?,?,?,?,?,?,?,good
2,2.5,3,?,tcf,40,none,?,?,11,below_average,?,?,yes,?,bad
2,4.6,4.6,?,tcf,38,?,?,?,?,?,yes,half,?,half,good
3,3.5,4,4.5,tcf,35,?,?,?,13,generous,?,?,yes,full,good
3,4,5,5,tc,?,empl_contr,?,?,12,generous,yes,none,yes,half,good
2,2.5,2.5,?,tc,39,empl_contr,?,?,12,average,?,?,yes,?,bad
1,5,?,?,?,40,?,?,2,11,average,?,?,yes,?,good
?,?,?,?,?,38,empl_contr,?,5,11,generous,yes,half,yes,half,good
3,4.5,4.5,5,?,40,?,?,?,12,average,?,half,yes,half,good
3,6.9,4.8,2.3,?,40,?,?,3,12,below_average,?,?,?,?,good
2,6.4,6.4,?,?,38,?,?,4,15,?,?,full,?,?,good
1,2.8,?,?,?,35,?,?,2,12,below_average,?,?,?,?,good
2,4.3,4.4,?,?,38,?,?,4,12,generous,missing_value,full,?,full,good
2,2.5,3,?,?,40,none,?,?,11,below_average,?,?,?,?,bad
2,4.5,4,?,?,40,?,?,4,10,generous,?,half,?,full,good
1,6,?,?,?,38,?,8,3,9,generous,missing_value,?,?,?,good
3,2,2.5,?,?,35,none,?,?,10,average,?,?,yes,full,bad
2,2.5,2.5,?,?,38,empl_contr,?,?,10,average,?,?,?,?,bad
3,2,2.5,2,?,37,empl_contr,?,?,10,average,?,?,yes,none,bad
2,7,5.3,?,?,?,?,?,?,11,?,yes,full,?,?,good
3,5,5,5,?,40,?,?,?,12,average,?,half,yes,half,good
3,6,6,4,?,35,?,?,14,9,generous,yes,full,yes,full,good
