duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,statutory-holidays,contribution-to-health-plan,contribution-to-dental-plan,class,longterm-disability-assistance,total-wage,total-extra-payment
1.0,2.0,0.0,0.0,0.0,38.0,0,0.0,0.0,11.0,0.0,0.0,bad,,2.0,0.0
2.0,3.0,3.0,0.0,0.0,33.0,0,0.0,0.0,12.0,1.0,0.0,good,0,6.0,0.0
1.0,4.0,0.0,0.0,0.0,40.0,0,0.0,0.0,11.0,0.0,0.0,bad,,4.0,0.0
2.0,2.0,3.0,0.0,0.0,38.0,1,0.0,0.0,12.0,1.0,0.0,bad,1,5.0,0.0
2.0,4.5,4.5,0.0,1.0,40.0,0,0.0,0.0,10.0,0.5,0.0,good,1,9.0,0.0
3.0,2.0,3.0,0.0,1.0,40.0,1,0.0,0.0,0.0,0.0,0.5,good,1,5.0,0.0
3.0,3.7,4.0,5.0,1.0,40.0,0,0.0,0.0,0.0,0.0,0.0,good,0,12.700000047683716,0.0
2.0,4.5,5.8,0.0,0.0,35.0,1,0.0,0.0,11.0,1.0,1.0,good,0,10.300000190734863,0.0
2.0,2.0,2.5,0.0,0.0,35.0,0,0.0,6.0,12.0,0.0,0.0,good,0,4.5,6.0
2.0,3.0,7.0,0.0,0.0,38.0,0,12.0,25.0,11.0,0.0,0.5,good,1,10.0,37.0
2.0,3.5,4.0,0.0,0.0,40.0,0,0.0,2.0,10.0,0.5,0.5,bad,,7.5,2.0
1.0,3.0,0.0,0.0,0.0,36.0,0,0.0,10.0,11.0,0.0,0.0,good,0,3.0,10.0
2.0,5.0,4.0,0.0,0.0,37.0,0,0.0,5.0,11.0,1.0,1.0,good,1,9.0,5.0
3.0,4.5,4.5,5.0,0.0,40.0,0,0.0,0.0,11.0,0.0,0.5,good,0,14.0,0.0
2.0,4.0,5.0,0.0,0.0,40.0,0,0.0,3.0,10.0,0.0,0.0,bad,,9.0,3.0
2.0,2.0,2.0,0.0,0.0,40.0,0,0.0,0.0,11.0,1.0,0.0,bad,1,4.0,0.0
1.0,2.8,0.0,0.0,0.0,38.0,1,2.0,3.0,9.0,0.0,0.5,bad,1,2.799999952316284,5.0
1.0,2.1,0.0,0.0,1.0,40.0,1,2.0,3.0,9.0,0.0,0.5,bad,1,2.0999999046325684,5.0
3.0,3.0,2.0,2.5,1.0,40.0,0,0.0,5.0,10.0,1.0,0.5,bad,1,7.5,5.0
3.0,2.0,2.5,2.1,1.0,40.0,0,2.0,1.0,10.0,1.0,0.5,bad,,6.599999904632568,3.0
1.0,2.0,0.0,0.0,1.0,40.0,1,4.0,0.0,11.0,0.0,0.0,bad,,2.0,4.0
2.0,4.5,4.0,0.0,0.0,40.0,0,0.0,2.0,10.0,0.5,0.5,bad,,8.5,2.0
1.0,5.7,0.0,0.0,,40.0,1,0.0,4.0,11.0,0.0,1.0,good,1,5.699999809265137,4.0
3.0,3.5,4.0,4.6,,36.0,0,0.0,3.0,13.0,1.0,0.0,good,0,12.099999904632568,3.0
2.0,4.5,4.0,0.0,0.0,37.0,1,0.0,0.0,11.0,0.0,1.0,good,0,8.5,0.0
3.0,2.0,2.0,2.0,0.0,40.0,0,0.0,0.0,10.0,1.0,0.5,bad,0,6.0,0.0
2.0,4.5,4.0,0.0,0.0,40.0,0,0.0,4.0,12.0,0.5,1.0,good,1,8.5,4.0
2.0,4.0,4.0,0.0,0.0,40.0,0,0.0,3.0,10.0,0.0,0.0,bad,,8.0,3.0
2.0,4.5,4.0,0.0,,40.0,0,0.0,5.0,11.0,1.0,1.0,good,0,8.5,5.0
2.0,5.0,4.5,0.0,0.0,38.0,0,14.0,5.0,11.0,1.0,0.0,good,1,9.5,19.0
2.0,5.7,4.5,0.0,,40.0,1,0.0,0.0,11.0,1.0,1.0,good,1,10.199999809265137,0.0
