duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,statutory-holidays,contribution-to-health-plan,contribution-to-dental-plan,class,longterm-disability-assistance,total-wage,total-extra-payment
3.0,3.5,4.0,4.6,0.0,36.0,0,0.0,3.0,13.0,1.0,0.0,good,0,12.099999904632568,3.0
2.0,4.5,4.0,0.0,0.0,37.0,1,0.0,0.0,11.0,0.0,1.0,good,0,8.5,0.0
3.0,2.0,2.0,2.0,0.0,40.0,0,0.0,0.0,10.0,1.0,0.5,bad,0,6.0,0.0
2.0,4.5,4.0,0.0,0.0,40.0,0,0.0,4.0,12.0,0.5,1.0,good,1,8.5,4.0
2.0,4.0,4.0,0.0,0.0,40.0,0,0.0,3.0,10.0,0.0,0.0,bad,,8.0,3.0
2.0,4.5,4.0,0.0,0.0,40.0,0,0.0,5.0,11.0,1.0,1.0,good,0,8.5,5.0
2.0,5.0,4.5,0.0,0.0,38.0,0,14.0,5.0,11.0,1.0,0.0,good,1,9.5,19.0
2.0,5.7,4.5,0.0,0.0,40.0,1,0.0,0.0,11.0,1.0,1.0,good,1,10.199999809265137,0.0
3.0,4.0,3.5,0.0,0.0,40.0,1,0.0,6.0,11.0,1.0,1.0,good,1,7.5,6.0
3.0,5.0,4.4,0.0,0.0,38.0,1,10.0,6.0,11.0,1.0,0.0,good,1,9.400000095367432,16.0
3.0,3.5,4.0,5.1,1.0,37.0,0,0.0,4.0,13.0,1.0,1.0,good,0,12.599999904632568,4.0
2.0,4.0,5.0,0.0,1.0,35.0,0,13.0,5.0,15.0,0.0,0.0,good,0,9.0,18.0
3.0,3.5,4.0,4.6,1.0,27.0,0,0.0,0.0,0.0,0.0,0.0,good,0,12.099999904632568,0.0
2.0,2.5,3.0,0.0,1.0,40.0,0,0.0,0.0,11.0,0.0,0.0,bad,0,5.5,0.0
2.0,4.6,4.6,0.0,1.0,38.0,0,0.0,0.0,0.0,0.5,0.5,good,1,9.199999809265137,0.0
3.0,3.5,4.0,4.5,1.0,35.0,0,0.0,0.0,13.0,1.0,0.0,good,0,12.0,0.0
3.0,4.0,5.0,5.0,1.0,40.0,1,0.0,0.0,12.0,0.5,0.0,good,1,14.0,0.0
2.0,2.5,2.5,0.0,1.0,39.0,1,0.0,0.0,12.0,0.0,0.0,bad,0,5.0,0.0
1.0,5.0,0.0,0.0,0.0,40.0,0,0.0,2.0,11.0,0.0,0.0,good,0,5.0,2.0
0.0,0.0,0.0,0.0,0.0,38.0,1,0.0,5.0,11.0,0.5,0.5,good,1,0.0,5.0
3.0,4.5,4.5,5.0,0.0,40.0,0,0.0,0.0,12.0,0.5,0.5,good,0,14.0,0.0
3.0,6.9,4.8,2.3,0.0,40.0,0,0.0,3.0,12.0,0.0,0.0,good,0,14.000000238418579,3.0
2.0,6.4,6.4,0.0,0.0,38.0,0,0.0,4.0,15.0,0.0,1.0,good,0,12.800000190734863,4.0
1.0,2.8,0.0,0.0,0.0,35.0,0,0.0,2.0,12.0,0.0,0.0,good,0,2.799999952316284,2.0
2.0,4.3,4.4,0.0,0.0,38.0,0,0.0,4.0,12.0,1.0,1.0,good,0,8.700000286102295,4.0
2.0,2.5,3.0,0.0,0.0,40.0,0,0.0,0.0,11.0,0.0,0.0,bad,0,5.5,0.0
2.0,4.5,4.0,0.0,0.0,40.0,0,0.0,4.0,10.0,1.0,0.5,good,0,8.5,4.0
1.0,6.0,0.0,0.0,0.0,38.0,0,8.0,3.0,9.0,0.0,0.0,good,0,6.0,11.0
3.0,2.0,2.5,0.0,0.0,35.0,0,0.0,0.0,10.0,1.0,0.0,bad,0,4.5,0.0
2.0,2.5,2.5,0.0,0.0,38.0,1,0.0,0.0,10.0,0.0,0.0,bad,0,5.0,0.0
3.0,2.0,2.5,2.0,0.0,37.0,1,0.0,0.0,10.0,0.0,0.0,bad,0,6.5,0.0
2.0,7.0,5.3,0.0,0.0,40.0,0,0.0,0.0,11.0,0.0,1.0,good,1,12.300000190734863,0.0
3.0,5.0,5.0,5.0,0.0,40.0,0,0.0,0.0,12.0,0.5,0.5,good,0,15.0,0.0
3.0,6.0,6.0,4.0,0.0,35.0,0,0.0,14.0,9.0,1.0,1.0,good,1,16.0,14.0
